"line num/group num
",Entities,,,,,"mean for entities
 per entry",,Relations,,,,,"mean for relations
 per entry",entry text
9,2,2,5,6,8,4.60,,1,1,2,2,5,2.2," Ребенку 4,5 месяца на ИВ. Мучаемся с запорами просто ужасно. При этом с кишечником все в порядке. Везде читаю нужно больше воды давать. Но для нас это большая проблема. Ребенок отказывается ее пить не с бутылки не с ложки. Как его поить и можно ли воду чем-то заменить или она обязательна в чистом виде? И сколько минимум нужно давать воды?"
10,5,,8,14,7,8.50,,3,,4,2,5,3.5," Я никогда не пила много воды, как все советуют 2 литра в день. Но недавно заметила, что в отдельные дни, когда я пью воды больше обычного, а особенно - когда заменяю чай, соки на чистую воду - у меня появляется соленый привкус и сухость во рту. Уточняю: вкус соли бывает именно в те дни, когда воды пью больше (например, болею). В остальное время ничего такого не наблюдаю. п.с. имеется лишний вес."
11,3,,7,3,,4.33,,2,,3,3,,2.66666667,"прочитал, что если на кубик сахара капнуть 3 капли йода,положить на язык, то повысится температура. Я решил попробовать. Теперь сожалею... Температура повысилась на пол градуса....На следующий день проснулся с привкусом йода во рту. При приеме пищи не ощущаю вкуса. ТО есть отказали вкусовые рецепторы на передней части языка. Что делать? Подскажите пожалуйста...) P.s Пробовал чистить щёткой для языка. Не помогло.."
12,3,5,6,9,9,6.40,,1,3,4,5,6,3.8,"Дочке 1,5 года. С рождения рвота во время плача, а так же при приеме новой пищи. С трудом ввела прикорм. Основное питание очень долгое время было грудное молоко. Сейчас ест ограниченное колличество продуктов + остается ГВ. Никакие молочные продукты есть не может."
13,2,4,3,,2,2.75,,1,1,2,,1,1.25,"после спорта или других физических нагрузок пот пахнет аммиаком, как будто понюхал ватку с нашатырём. В какой системе проблема?"
14,2,,4,9,4,4.75,,0,,3,3,2,2,мой малыш 3 года не хочет кушать вторые блюда жевать он может первые кушает если их подавить кушает печенье хлеб яблоки йогурты и кашу с бутылки что мне делать
15,4,2,5,6,4,4.20,,2,1,3,3,2,2.2,"Проблемы начались после того, как решила сесть на белковую диету. <...> Есть ничего не могла, почти 2 недели ничего кроме овсяного отвара (из геркулесовой каши, сильно вываренный), затем стала добавлять крупу, ту самую овсянку из отвара, жидкую. Потому что стала замечать, что от голода тоже очень болит желудок."
16,2,,2,2,2,2.00,,1,,1,1,1,1,Не могу есть хрустит прикус
17,,,2,1,,1.50,,0,,,,,0,"Покушал,но не прочитал инструкцию ,а в инструкции написано ""за пол часа до еды"" ,а уже пол 12 ночи"
18,5,4,5,4,11,5.80,,1,2,3,2,5,2.6,"Постоянные стрессы на протяжении нескольких лет.<...> Я стала выпивать пиво .Если сильный стресс-могу выпить бутылки три пива,если начинают морально добивать-напиваюсь.Не похмеляюсь.Запоев нет.Пиво стала пить раз в три дня стабильно.Обращалась к психологу. <...> Вроде стала по другому смотреть на жизнь.Но я вот боюсь,что я сопьюсь с этими проблемами."
19,2,,3,5,7,4.25,,0,,3,2,3,2,"Я даже не могу описать характер этой боли, но пока ничего не ем, сустав не беспокоит, но стоит взять в рот еду - боль просто разрывает пол головы."
20,3,,10,15,19,11.75,,2,,5,5,17,7.25,"Мне 21год, сильно беспокоили боли в животе,вздутие, отрыжка, тошнота и рвота после каждого приема пищи. Прошла обследование, мне поставили диагноз: хр.гастродуоденит""PH+"", обострение хр. холецистита, дисбактериоз, вне обострения лямблиоз кишечника. Сейчас прохожу полный курс лечения, но до сих пор есть не могу. Совсем не ем уже 10 дней, пью только воду....меня это очень беспокоит, у меня нет совсем аппетита, появился страх перед едой."
21,2,,2,,,2.00,,1,,1,,,1,"опасно ли общаться с белками в парках Петербурга, нет ли риска заразитдься бешенством. Белки берут еду из рук, могут поцарапать, обслюнить или укусить. Довольно часто кормлю белок, часто берут угощения с рук."
22,4,,8,9,,7.00,,2,,4,3,,3,"Сначала потеря аппетита вроде связана была с температурой, грипп был, да плюс что-то долго не переваривалось, переедание или что там, в общем, но 5 дней переедание ведь не держится, да и любое просроченное бы переварилось.Наверное, уже веществ каких-нибудь не хватает...Чувство насыщения наступает почти сразу, а даже просто попить чуть больше воды = уже тошнит, хотя пить хочется постоянно."
23,,,17,18,,17.50,,,,5,4,,4.5,"неделю назад появился горький привкус во рту. В тот же день, вечером, выпила баночку колы (что случается раз в полгода), и состояние стало ухудшаться, появилось головокружение, тошнота, озноб. На следующий день утром была температура 37,4, <...> ни рвоты ни диареи не было. Приняла эссенциале, проспала весь день - к вечеру все прошло. Но горечь во рту осталась - к тому же появились другие проблемы - то понос, то запор, испортилась кожа на лице, метеоризм, изжога. Настроение плохое, истерики, сопли-слезы. "
24,,3,13,19,,11.67,,,1,4,9,,4.66666667,"У меня проблема - по ночам просыпаюсь от тошноты и при чем просыпаюсь в одно и тоже время в начале второго. У меня гастрит, печень больная. Ничего жирного, жареного, горького себе не позволяю. Не пью, не курю. У меня проблема с перегородкой носа никак от мокроты избавиться не могу и мне прописали серрату. После первой таблетки запах изо рта появился ужасный, язык обложило и глотку. Самочувствие было отвратительным. Тяжесть в желудке появилась такая - прям в начале желудка скованность, как будто камень застрял. Пила креон во время еды и аллахол за полчаса до еды. Все прошло - и запах и тяжесть и самочувствие улучшилось, а сейчас снова да еще и от тошноты просыпаюсь по ночам. И такое чувство, что тошнит от желудка (тяжесть у основания, скованность какая - то). У меня было такое года 3 назад - просыпалась по ночам от тошноты, только 02.30 ночи, стабильно. Ходила к врачу - гастрит. А сейчас, что за проблема со мной?"
25,,,5,12,,8.50,,,,3,4,,3.5,"Моему ребенку 8 месяцев. На искусственном вскармливании с 2 месяцев. Прикорм вводила с 4 - 5 месяцев начиная с овощных пюре в баночках. Сейчас начала сама готовить овощные супчики из картошки, морковки, цветной капусты и капусты броколли. Как только я ее покормлю супом у нее начинается рвота. После другой пищи рвоты нет. Может я что-то не так делаю?"
26,,,6,8,,7.00,,,,3,4,,3.5,"ребенку 1,5 ..Месяц без ГВ...Она постоянно просит кушать, 3-4 полноценных кушанья, и между ними постоянно или печенье или банан или хлеб, но просит просит и просит...Еще нам поставили атопический дерматит -это может как-то связано...??"
27,,,4,4,,4.00,,,,1,3,,2,"Я не могу нормально есть и пить, спазм мышц, я боюсь глотать, у меня просто нет рефлекса глотать."
28,,,7,10,,8.50,,,,4,5,,4.5,"Дней 10 я работала по 14 часов сидя за компьютером и питаясь мало, и вредными продуктами, типа чипсов или мороженного. На 6-й день начались боли в желудке, у меня такого раньше не было, желудок болит не прекращая 5-й день. Сейчас такой график продолжается, возможности пойти ко врачу или полноценно обедать тоже пока нет. Скажите, до консультации с врачом, какими доступными средствами можно поддержать желудок и облегчить боли, можно ли есть заваренные овсяные хлопья?"
29,,,5,15,,10.00,,,,4,5,,4.5,"Во время беременности поправилась на 26кг, <...> ребенок на ГВ, но это не помогает мне сбрасывать вес. Наоборот, я жру. Я с каждым днем круглее. Муж кричит, что я жру как не в себя, свекровь тоже подкалывает. А у меня тяга к сладкому <...> Гормоны щитовидной железы и биохимию крови сдала 4 дня назад, все в норме. Видимо, психология,  стресс, неудовлетворенность мужем. Я просто не знаю, где еще искать причину срыва."
30,,,7,13,,10.00,,,,2,5,,3.5,"Девочка два года, родилась недоношенной, настоящие время боремся с дефицитом массы тела. Ест мало.... <...> Бывают дни что может пропустить завтрак, обед немного сьесть но ужин пройдет хорошо. Я как мама, очень волнуюсь что при такой низкой массе она и ест плохо. Наш педиатр говорит что ничего страшного... Но у меня есть сомнения что она права."
31,,,6,7,,6.50,,,,3,3,,3,"больше недели вся пища кажется пересоленной, <...> пропал аппетит, ем только запеканку творожную или творог с фруктами. Но теперь ещё стали отеки на пальцах появляться, кольца тяжело снимаются. Что делать? Нужно какие-то анализы сдать?"
32,,,3,8,,5.50,,,,3,2,,2.5,"Моему сыну 3 года, он ничего не хочет кушать, только пьет молоко, при этом он не умеет жевать <...> мы пользовались блендэром для приготовления пищи, и видимо злоупотребили им., теперь вот ребенок мучается, не может жевать, просто не умеет."
33,,,4,3,,3.50,,,,2,2,,2,"У меня стало меньше молока и мне кажется, что малыш не наедается"
34,,,5,2,,3.50,,,,3,2,,2.5,"Опасно ли если ребёнок откусил яблочного червя с яблоком? Не заведутся ли от этого червячки? С виду яблоко было красивым, а в сердцевинке оказался червячок."
35,,,15,17,,16.00,,,,5,5,,5,"Живу в Средней Азии. С подросткового возраста появилась пищевая аллергия, особенно на свежую капусту, а малину, клубнику, черную смородину и полиноз. <...> я уже лечилась от аллергии <...>, делали пробу, выявили аллергены и провели специальное лечение. <...> прекратились симптомы сезонной аллергии, но не пищевой. <...> не могу употреблять в пищу салат из свежей капусты появляется отек горла, лица, неприятный зуд п промежностях. Про свежие ягоды и варенье я уже забыла. На данный момент лечусь от диффузно-токсического зоба, принимаю мерказолил по 3 таб х 3 раза в день и анаприлин 10 по  0,5 таб х 3 раз в день.  Может надо пройти комплексное обследование?"
36,,,6,9,,7.50,,,,2,4,,3,"Практически никакое мясо, фрукты, овощи не могу употреблять в пищу, от всего этого появляется рвотный рефлекс. Недавно поймал себя на мысли, что меня тошнит от запаха яблок."
37,,,6,,,6.00,,,,4,,,4,"Там для обезьян норма -  забирать угощение из рук. Одна так и поступила - запрыгнула на мое плечо, начала вырывать из рук орехи, в том числе и ртом, но укуса как такового не было <...>. Я испугалась, дернулась и обезьяна, падая, поцарапала меня за плечо когтями ног. В ближайшие полчаса мне царапину обработали <...>. Но я с детства очень боюсь бешенства, иногда меня накрывает паника <...>. Царапины на плече зажили нормально. Насколько есть вероятность заражения и можно ли сдать анализ?"
38,,,11,36,,23.50,,,,5,6,,5.5,"почти месяц у меня странные симптомы в жкт Началось все с випитого на ночь литра пива. Через 3 часа проснулась от тахикардии и сильной тошноты. На утро стали беспокоить боли вокруг пупка, только если надавить на это место. Далее боли стихли через дня 4 и началась тошнота после еды. От любой еды (даже самой диетической) и даже воды, начинается тошнота, до рвоты дело не доходит. Сразу же начинает бурлить в животе, метеоризм (даже от воды), отрыжка либо воздухом, либо пищей, которую ела ранее. Начинает разливаться жар (как приливы) в эпигастрии (не зависит от температуры еды и воды).Это продолжается от 15-20 минут, до 1,5-2 часов (зависит от кол-ва еды), далее наступает чувство голода, как будто еда провалилась резко куда-то. Я обратилась в поликлинику, сдала оак: лейкоциты 6,2, эритроциты 4,7, гемоглобин 146, соэ 7, тромбоциты 345, лейкоформула: э 4 п 1 с 73 л 17 м 5. Сделала узи брюшной полости: печень левая и правая доли не увеличены, расширены внутрипеченочные желчные протоки, без дополнительных очаговых образований. Жп расположен обычно, не увеличен, стенка не утолщена, холедох норма. Перетяжка по задней стенки жп, полип 0,4 мм (его выявили год назад не растет), в жп взвесь. Поджелудочная железа: размеры норма, контур ровный четкий, структура гиперэхогенная, однородная без доп.включений, селезенка норма, вены норма, лимфоузлы нет, очаговые образования нет, жидкость нет. Заключение: расширение печеночных протоков, признаки дискинезии жвп. Сделала фгдс: по заключению пролапс, дуоденальный рефлюкс, усиленная перестальтика желудка, язв, эрозий, гастритов, опухолей не обнаружено."
39,,,6,6,,6.00,,,,2,3,,2.5,"можно ли считать аллергией мою реакцию на молочные продукты, после использования у меня бывает понос, зуд, боли в животе. Такие симптомы были у меня примерно  3-4 года"
40,,,6,6,,6.00,,,,,1,,1,"1,5 месяца назад неделю была изжога постоянная и болело в груди/солнечной сплетении где то месяц, сделал фгдс. Нужно ли идти на прием к гастроэнтерологу? Сейчас просто уже ничего не беспокоит."
41,,,9,7,,8.00,,,,4,2,,3,"Последнее время не могу есть термически обработанную пищу. Мясо, рыба, крупы, супы - начинаю есть и сразу пропадает аппетит. А если ем через силу - появляется тошнота."
42,,,,7,,7.00,,,,,2,,2,"щемит сердце,частичное онемение левого мизинца,потоотделение при еде или движении,если лежу то сердце как бы стучит в голове"
43,,,3,5,,4.00,,,,1,2,,1.5,"Мой молодой человек , когда находится дома ночами встаёт и съедает все что только можно . Причем делает это в полудрёме . Он военнослужащий <...> Мне интересно что это может быть за проблема"
44,,,5,6,,5.50,,,,4,4,,4,"... начал замечать, что мой живот уже стал виден. Ограничил себя в сахаре и прочих привычных продуктах и лакомствах <...> слежу за потреблением калорий.
Делаю упражнения, направленные на мышцы ног, рук, живота и боков. Раньше выходило в среднем 3-4 тысячи калорий, но вызвано было тем, что я практически всегда чувствовал себя голодным."
45,,,13,15,,14.00,,,,4,5,,4.5,"Я пропил по рекомендованной схеме курс антибиотиков и у меня в конце курса и вот уже несколько дней после приема сильная тошнота, отсутствие аппетита и слабость. Я прекратил прием Новобисмола и стало чуть получше. Проблемы с желудочно-кишечным трактом такие как гастрит, эрозии, хронич панкреатит, раздраженный кишечник у меня уже лет 10. Брали биопсию пищевода на исследование, но ничего не нашли ввиду малого количества материала. После этого я проходил курс лечения у гастроэнтеролога.Если есть подозрение на «пищевод Барета» что мне посоветуете дальше делать, чтобы не пропустить что-нибудь плохое?"
46,,,12,12,,12.00,,,,4,4,,4,"седьмой день очень болит голова, пульсирует/стучит в ушах, висках и зоне выше лба. Началось всё с крайне обильных месячных <...> Была дикая слабость во всём теле <...> Потом добавилась тошнота <...> У меня обычно пониженная температура, а сейчас была 37.5, <...> парацетамол, выпила и сейчас, чтоб снизить головную боль <...> до сих пор в ушах стучит, чувствую ритм сердца <...> пила Тотема по 1 ампуле в день, а когда кончилось, то по 2 капсулы Фенюльс (год назад ставили ЖД анемию). Сейчас вроде всё прошло, но голова по-прежнему болит."
47,,,8,11,,9.50,,,,3,5,,4,"Мне 18 лет, я девушка. Меня очень беспокоит тошнота после еды. Рвоты нет. Началось это на прошлой неделе, в будни меня тоже слегка тошнило после еды. В воскресенье и понедельник все было хорошо. Сегодня среда, после обеда меня стало тошнить довольно сильно, но рвоты не было. Тошнота усиливается во время движения. У меня ВСД. Была у вузовского терапевта, она предположила, что это спазм сосудов головного мозга. Арт.Давление 135/90 (мое нормальное 125/70), биение сердца 102. я выпила таблетку кажется диазолина, сказали купить андипал."
48,,,11,8,,9.50,,,,4,4,,4,"Неделю назад появились схваткообразные боли при отхождении большого количества газов, жидкий стул 3 раза в день <...> На данный момент болит левый бок <...>  температура 37-37.2  .Вчера на приеме врач выписала Омез и Дюспаталин. Можно ли предположить, что у меня обострился давний сигмоидит? Наличие температуры при сигмоидите всегда свидетельствует об инфекционном заражении? Стоит ли сейчас принимать Омез, ведь в инструкции написано, что он показан при гастритах?"
49,,,6,4,,5.00,,,,1,2,,1.5,"Несколько дней назад у меня случился сильный стресс. Возникла проблема с приемом пищи. Я совсем не хочу есть, а если заставляю себя через силу - то очень тошнит, съесть получается совсем мало. Ждать, пока пройдет стресс и аппетит сам появится - не вариант. Подобная ситуация была несколько лет назад и всё закончилось острым гастритом, мне не хочется, чтоб ситуация повторилась, но через силу могу съесть очень мало."
50,,,7,7,,7.00,,,,4,3,,3.5,"набрала 10 кг. Меня это беспокоит очень. Худеть не получается, я постоянно хочу что- нибудь съесть <...> типа фаст-фуда.Подозреваю,что все это связано с работой потому что она у меня очень очень очень нервная и сидячая. Но не знаю как справиться"
mean,4.095238095,4.75,6.693877551,9.234042553,9.117647059,,,1.590909091,2.083333333,3.170212766,3.543478261,5.176470588,,
Mean per groups,5.743902439,,,9.203125,,,,2.580246914,,,3.984126984,,,
General Mean,,,,,,7.49,,,,,,,3.131666667,
median,3,4,6,8,7,,,1.5,2,3,3,5,,
MEDIAN per groups,4,,,7.5,,,,2,,,4,,,
General Median,,,,,,6.20,,,,,,,3,
stdev,3.576377523,2.701009912,3.422986523,6.172212506,6.900021313,,,1.259595207,1.164500153,1.109624867,1.834321209,3.762234943,,
STDEV per groups,3.233457986,,,6.53611691,,,,1.177906742,,,2.798278076,,,
General STDEV,,,,,,4.41,,,,,,,1.383057714,
CV (coefficient of variation),0.8733014882,0.5686336657,0.5113607915,0.6684193267,0.7567765311,,,0.7917455586,0.5589600735,0.3500158976,0.5176612001,0.7267953867,,
General CV,,,,,,0.59,,,,,,,0.4416363109,
variance,12.79047619,7.295454545,11.71683673,38.09620722,47.61029412,,,1.586580087,1.356060606,1.231267345,3.3647343,14.15441176,,
variance per group,10.60092249,,,42.85325067,,,,1.391302679,,,8.75957303,,,
General Variance,,,,,,19.48,,,,,,,1.91284864,
